1,Agenre
2,Androgyne
3,Aucun
4,Autre
5,Bigenre
6,Cis
7,Cisgenre
8,En questionnement sur son genre
9,Femme
10,Femme Cis
11,Femme Cisgenre
12,Femme trans
13,Femme trans'
14,Femme transgenre
15,Femme transsexuelle
16,Femme vers homme
17,FTM
18,FTx
19,Genderqueer
20,Genre fluide
21,Genre Neutre
22,Genre variable
23,Hijra
24,Homme
25,Homme Cis
26,Homme Cisgenre
27,Homme trans
28,Homme trans'
29,Homme transgenre
30,Homme transsexuel
31,Homme vers femme
32,Intersexe
33,Intersexué
34,Intersexuée
35,Mahu
36,MTF
37,MTx
38,Neutrois
39,Non binaire
40,Pangender
41,Personne trans
42,Personne trans'
43,Personne transgenre
44,Personne transsexuelle
45,Queer
46,Rae Rae
47,Refuse de se conformer aux stéréotypes de genre
48,trans
49,trans'
50,Transgenre
51,Transsexuel-le
52,Two-spirit
